,Título Trabajo,Ubicación,Fecha Publicación,Link,Atributos del Trabajo,Descripción del Trabajo
1,Participate in a Brain Imaging Study,Charlestown/Boston boston/cambridge/brookline ,Tue 04 Jan 05:35:06 PM,https://boston.craigslist.org/gbs/etc/d/charlestown-participate-in-brain/7428685340.html," compensation: Compensation is $75 per session, with a maximum of $375.  employment type: part-time  ","  QR Code Link to This Post   PARTICIPATE IN A BRAIN IMAGING STUDY TO UNDERSTAND COGNITION, MEMORY, AND BRAIN STRUCTURE!  We are seeking healthy adult volunteers 25-50 years of age for a research study to understand more about memory and brain structure.  WHERE: MGH-Charlestown MRI Imaging Center (149 13th St., Charlestown MA)  HOW LONG: Five sessions over the course of 6 months  YOU MIGHT BE ELIGIBLE TO PARTICIPATE IF YOU: ● Age 25-50 ● Right handed ● Have no metal in your body ● Have no history of neurological or psychiatric disorders  Compensation is $75 per session, with a maximum of $375. We can provide a 1-day parking voucher for each session. We may also provide you with a free ride-sharing services.  If you are interested in participating, please email us at AdultMemoryStudy@partners.org or call us at (617) 643-9747 and include your phone number and some good times to reach you.     "
2,Participate in a Brain Imaging Study,Charlestown/Boston boston/cambridge/brookline ,Tue 04 Jan 05:29:42 PM,https://boston.craigslist.org/gbs/etc/d/charlestown-participate-in-brain/7428682870.html," compensation: Compensation is $75-$100 per session, with a maximum of $425.  employment type: part-time  ","  QR Code Link to This Post   PARTICIPATE IN A BRAIN IMAGING STUDY TO UNDERSTAND COGNITION, MEMORY, AND BRAIN STRUCTURE!  We are seeking healthy adult volunteers 65-90 years of age for a research study to understand more about memory and brain structure.  WHERE: MGH-Charlestown MRI Imaging Center (149 13th St., Charlestown MA)   HOW LONG: Five sessions over the course of 6 months  YOU MIGHT BE ELIGIBLE TO PARTICIPATE IF YOU: ● Age 65-90 ● Right handed ● Have no metal in your body ● Have no history of neurological or psychiatric disorders  Compensation is $75-$100 per session, with a maximum of $425. We can provide a 1-day parking voucher for each session. We may also provide you with a free ride-sharing services.  If you are interested in participating, please email us at AdultMemoryStudy@partners.org or call us at (617) 643-9747 and include your phone number and some good times to reach you.     "
3,Paid $$$ - Knee Pain Research Study - No Insurance Needed!,Waltham metro west ,Tue 04 Jan 11:18:28 AM,https://boston.craigslist.org/bmw/etc/d/waltham-paid-knee-pain-research-study/7428486540.html, compensation: $75 to $225 per office visit (depending on length of time required per visit)  employment type: contract  ,"  QR Code Link to This Post   Now Recruiting for Chronic Knee Pain Research Study!  REQUIREMENTS   •	Be 40 years of age or older  •	Have knee pain on a daily basis for at least three months •	Have an average pain score of 4 / 10 or greater  •	Additional criteria may apply.  BENEFITS  •	Compensation for your time and travel •	Study related care at no cost •	No health insurance needed  TRANSPORTATION IS AVAILABLE  MedVadis Research conducts clinical trials year round.  Each study is unique with a specific set of parameters, including length of study, type of medication and volunteer requirements.  Our studies are ongoing and we encourage interested volunteers to inquire  CLICK HERE >> SEE IF YOU QUALIFY! <<  "
4,Paid $$$ - Low Back Pain Research Study!,Waltham metro west ,Tue 04 Jan 11:13:58 AM,https://boston.craigslist.org/bmw/etc/d/waltham-paid-low-back-pain-research/7428484209.html, compensation: $75 to $225 per office visit (depending on length of time required per visit)  employment type: contract  ,"  QR Code Link to This Post   Now Recruiting for Chronic Low Back Pain Research Study!  REQUIREMENTS   •	Be 18 years of age or older  •	Have low back pain on a daily basis for at least three months •	Have an average pain score of 4 / 10 or greater  •	Additional criteria may apply.  BENEFITS  •	Compensation for your time and travel •	Study related care at no cost •	No health insurance needed  TRANSPORTATION IS AVAILABLE  MedVadis Research conducts clinical trials year round.  Each study is unique with a specific set of parameters, including length of study, type of medication and volunteer requirements.  Our studies are ongoing and we encourage interested volunteers to inquire.  CLICK HERE >> SEE IF YOU QUALIFY! <<  "
5,"dog walkers, dog boarders & cat sitters needed!",Brighton & surrounding areas boston/cambridge/brookline ,Tue 04 Jan 09:51:15 AM,https://boston.craigslist.org/gbs/etc/d/brighton-dog-walkers-dog-boarders-cat/7428444036.html, compensation: $15+/hour  employment type: part-time  ,"  QR Code Link to This Post   Want a fun & rewarding job working with animals? Then we might have the job for you!!! Please read on & see if you might be a good fit, then follow the application instructions at the bottom of this ad...   Happy Pet Care is looking to hire several new people to join our team. We need several dog walkers with availability Monday-Friday from 11am-2pm to walk dogs in the Allston, Brighton & Brookline areas. A car would be helpful to cover the dog walking routes, but isn't absolutely necessary for every route. We also need someone with morning and/or evening availability to cover cat visits in various neighborhoods throughout our service area (Allston, Brighton, Brookline, Chestnut Hill, Newton Corner, and Fenway). THE ONLY HITCH IS THAT YOU MUST HAVE A VEHICLE because the areas needing cat sitting help are too large to cover any other way. All employees are also welcome to make extra money by boarding dogs in their own homes (and sometimes in clients' homes, on a limited basis).   The ideal applicant...  -has prior experience with dogs and/or cats (personal and/or professional) and feels comfortable handling and caring for multiple dogs and/or cats  -is reliable, trustworthy, punctual, conscientious, hard-working, friendly, and outgoing  -enjoys exercising and being outside in ALL types of weather  -has a vehicle to use for transporting dogs between walks, or from getting from one cat visit to another  -is familiar with the service area (or at the very least, is good with directions and can read a map)  -has a smart phone   To apply, email a copy of your resume and 3 references, along with a brief description of yourself. In the self-description, please include detailed information about your experience with dogs and/or cats, what you do with your time (school, work, hobbies, etc.), what type of vehicle you have, what is your general availability, when you would be available to start working, and how long you could see yourself working a position like this one.   For more information on Happy Pet Care, visit our website: www.happypetcare.net     "
6,Earn $50-70k+ as a Surrogate✨ Great 2nd Job,"Boston (South Shore),MA south shore ",Tue 04 Jan 12:58:29 AM,https://boston.craigslist.org/sob/etc/d/cohasset-earn-50-70k-as-surrogate-great/7428370541.html," compensation: 1st time Surrogate compensation starts at $50,000 + $1k screening bonus!  Experienced surrogates earn more!  employment type: contract  ","  QR Code Link to This Post    Calling all mothers out there! What if you could help give the most beautiful gift in the world to another family while financially helping your own?    Surrogacy is a rewarding experience for everyone involved. You don’t have to choose between surrogacy or a job. You can do surrogacy as a stay-at-home mom or as a second job, all while getting compensated for it. We admire your desire to give the most beautiful gift in the world to a family, while financially helping your own.       ""In my quest to fulfill my dream of helping a family through surrogacy I researched several agencies in the California area. I found so many great reviews on Physician's Surrogacy. I called and the staff was quick to answer all my questions. They certainly helped put my mind at ease and was the first agency (I called several) tat I spoke with where I finally sensed ""this is where I belong.""   Your safety and happiness are our primary concern. A surrogacy journey is an emotional and complex medical process that can change lives and bring joy to all involved. Our team of physicians work diligently to ensure a safe and smooth journey. Take the first step by completing your application today to find out if you're eligible. Did you know you can earn up to $11,000 before you are even pregnant?            Physician's Surrogacy is the leading surrogacy agency in San Diego, with the largest program in North America, providing comprehensive agency services for more than 20 years.  Our in-house physicians and caring surrogacy coordinators will be happy to guide you through our surrogacy process. Also, our in-house OB liaison can answer any medical questions you may have. Together, we have over 150+ combined years of clinical and professional experience.    Basic Criteria:   Ages 20-37 years old Have had at least one child of your own No major complications during pregnancy and/or delivery Live a healthy lifestyle (no drugs, smoking and healthy body weight) Arizona, California, Colorado, DC, Delaware, Florida, Illinois, Maine, Maryland, New Hampshire, New Jersey, Nevada, Oregon, Texas, Rhode Island, South Carolina, Utah, Vermont,  or Washington Resident                Our compensation package is hard to beat, but if you find a higher package, we will happily match it. Second or third time surrogates will qualify for higher compensation.  		As with most agencies, compensation is commensurate with experience, and experienced  		surrogates will qualify for higher compensation. At Physician's Surrogacy, we believe  		surrogates should be compensated for the time, commitment, and physical sacrifices  		made during their journey.         The Ultimate Surrogacy Experience:    With our monthly support groups, dedicated support teams, and lifetime opportunity, we provide a convenient, caring, and experienced environment for this beautiful journey. One of our experienced Surrogate Coordinators would love to speak with you and answer any questions you may have.            Have Questions Before You Apply?    We offer informal information calls to make sure that surrogacy is right for you and your family. To further enhance your decision-making process, you can also call or text to set an appointment to visit our facility.  Feel free to  chat with us on our website if you have any further questions.        Follow Us     Our candidates are interested in Surrogacy, surrogate, stay at home, work at home, Surro, Military Moms, Pregnancy, Pregnant, Infertility, trabajo, spanish, embarazada, seroget, serrogate, serogate, surogate, motherhood, meternidadsubragada, egg donation, egg donor, part-time, money, Children, Babies, Kids, Infant, Child, Baby, mothers, madres, bebe, dinero, mama, trabajaren casa, embarazo, fertilidad, familia, ninos, daycare, used clothes, thrift, boys, girls, remote, crib, childcare, stroller, car seat, blankets, bike, presents, toys, Legoland, disneyland, daycare part-time position, P/T, full time, and F/T. Candidates may be from San Diego, Las Vegas, Nevada, Riverside, Sacramento, Southern California, Inland Empire, Orange County, Los Angeles, Redding, Chico, Imperial County, Oregon, Colorado, Texas, Fort Collins, Boulder, Colorado Springs, Pueblo, Bakersfield, fresno, madera, gold country, hanford-corcoran, humboldt county, imperial county, mendocino county, merced, modesto, monterey bay, palm springs, redding, sacramento, sanfrancisco bay area, sanluis obispo, santabarbara, santa maria, siskiyou county, stockton, susanville, ventura county, visalia-tulare, yuba-sutter,denver, eastern CO, fort collins, north CO, high rockies, western slope, elko, reno, tahoe, bend, corvallis, albany, east oregon, eugene, klamath falls, medford-ashland, oregon coast, portland, roseburg, salem, abilene, amarillo, austin, beaumont, port arthur, brownsville, college station, corpus christi, dallas, fort worth, deep east texas, del rio, eagle pass, el paso, galveston, houston, killeen, temple, ft hood, laredo, lubbock, mcallen, edinburg, odessa, midland, sanangelo, sanantonio, sanmarcos, southwest TX, texoma, tyler, east TX, victoria, waco, wichita falls, bellingham, kennewick, moses lake, olympic peninsula, pullman, seattle, tacoma, skagit, spokane, wenatchee, yakima, clark, and Washington.  If you are a caretaker, cleaner, host, caregiver, senior care, house cleaner, research, assistant, cleaning, short term, limpiadora, laundress, pimpieza de casa, cleaning lady, organizing, work from home, driver, customer service, nanny, housekeeper, assistant, medical, MA, medical assistant, sales worker, seasonal, cashier, uber, lyft, driver, receptionist, cashier, store clerk, food-runner, freelancer, hostess, nurse, teacher, job-seeker, valet, waitress, bus girl, cab driver, barista, intern, human resources, retailer, busboy, busgirl, server, web designer, graphic designer, cashapp, promoter, student, taxi driver, fitness trainer, therapy, bookkeeper, biller, sales, assistant, or data entry specialist, security staff, research studies,housekeepter, see if you can become part of our surrogate family by submitting an application.   "
7,Daytime Helpers for Disabled Man,Fenway/Symphony boston/cambridge/brookline ,Mon 03 Jan 02:58:53 PM,https://boston.craigslist.org/gbs/etc/d/daytime-helpers-for-disabled-man/7428164431.html, compensation: $20 per hour  employment type: part-time  ,"  QR Code Link to This Post   Disabled professional seeks helpers for mornings. Typically 4 or 5 hours per shift.  You could work 5 days or 2 days. Sunday-Thursday or Friday-Saturday. I usually start at 8:30 AM, and finish between 12:30 PM and 1:30 PM. Occasionally it might be longer. Job includes range of motion exercises, personal care, showering, transferring me into my wheelchair, driving me in my lift-equipped van, doing errands, and household tasks like organizing and cleaning. I have a patient lifter attached to the ceiling, which makes for safe transfers.  No experience necessary, but you need to be comfortable with bodies and personal care. You must have legal permission to work. You must be vaccinated, to prevent you from being out of work for a long time if you get sick.. You must have a drivers license and be comfortable driving a van with a wheelchair lift. I have an elderly cat who needs a lot of attention, so you should be cat- friendly.  Parking is available. Excellent T connections. You get paid every 2 weeks by direct deposit, with taxes withheld. I eat a vegetarian breakfast. LGBTQIA+ friendly workplace.  "
8,Come Sleep With Us! Sleep Study at BWH Needs Volunteers,Boston boston/cambridge/brookline ,Mon 03 Jan 02:27:58 PM,https://boston.craigslist.org/gbs/etc/d/boston-come-sleep-with-us-sleep-study/7428146914.html," compensation: Receive up to $6,250  employment type: part-time  ","  QR Code Link to This Post   The Division of Sleep and Circadian Disorders at Brigham & Women’s Hospital is seeking healthy volunteers ages 20-40 to participate in a research study. You must be a non-smoker and not on any medications (other than birth control). You will complete 1 in-person and 3 remote screening visits and must keep a regular sleep schedule for 2 weeks. If eligible, you will live 33 consecutive days and nights in a private room in our clinical research center.   We want to learn more about how insufficient sleep night after night impacts metabolism, and how exposure to artificial light at night plays a role.   If you would like to be screened for participation, please follow the link below and fill out our pre-screening survey:  https://redcap.partners.org/redcap/surveys/?s=ECM4EEDWLT  Receive up to $6,250.   For more information, call 617-525-8838, e-mail us or visit https://rally.partners.org/study/alan.    "
9,Help Us Learn More About Circadian Rhythms! 5-day Research Study,Boston boston/cambridge/brookline ,Mon 03 Jan 02:26:37 PM,https://boston.craigslist.org/gbs/etc/d/boston-help-us-learn-more-about/7428146116.html," compensation: Receive up to $1,800  employment type: part-time  internship  non-profit organization  ","  QR Code Link to This Post   The Division of Sleep Medicine at Brigham & Women’s Hospital is seeking healthy volunteers ages 21-35 to participate in a sleep research study. You must be a non-smoker and not on any medications.  You will complete 4 screening visits and must keep a regular sleep schedule for 2 to 4 weeks. If eligible, you will live 5 consecutive days and nights at the sleep research laboratory within the hospital.  The purpose of this study is to see if the body’s internal ‘clock’ time can be estimated from a single blood sample.  Receive up to $1,800.   For more information, call 617-525-8813,  or visit https://rally.partners.org/study/bodyclockstudy "
10,"Surrogate Mother Needed! Help a Family Grow and Earn up to $57,000!","Boston, Ma boston/cambridge/brookline ",Mon 03 Jan 02:17:54 PM,https://boston.craigslist.org/gbs/etc/d/surrogate-mother-needed-help-family/7428141144.html," compensation: Between $52,000 and $57,000 Base Fee plus all expenses paid and additional paid allowances  employment type: contract  ","  QR Code Link to This Post       ""Click Here to Learn More""     Why Become a Surrogate with The Center For Surrogacy and Egg Donation?  Have the chance to give the most precious of gifts to a loving couple in need: the gift of life. Earn a Base Fee of $52,000 for a first time surrogacy and $57,000 for experienced surrogates, plus all expenses paid. In addition to your Base Fee and Expenses being paid, you will also earn $3,300 in totally monthly allowances to use as you see fit and $500 to put towards maternity clothing Enjoy the financial freedom of being able to pay off student loans, make a down payment on a home, or create a college fund for your own children. Experience the CSED difference by working with a passionate and dedicated staff, who will guide you every step of the way, allowing surrogacy to fit into the busiest of schedules. Retain 100% of your fee, as all expenses will be paid through our agency.    About The Center For Surrogacy and Egg Donation, Inc.  CSEDInc is one of the country's oldest and most well-respected Egg Donation and Surrogacy agencies. We offer a superior level of care and attention to our intended parents and Surrogate Mothers (Gestational Carriers). For more detailed information on our gestational carrier program, please visit our website by clicking  ""Click Here to Learn More"", or feel free to call us at (508) 460-0400.      Requirements for Potential Surrogates:  Female Between the ages of 21 and 40  In Good Physical Health, Who Has Delivered,  With a good Pregnancy Health History. Be Reliable and Committed to the Surrogacy Process Non-Smoker Have Strong Support From Friends and Family    ""Click Here to Learn More""    The Center For Surrogacy and Egg Donation was founded by a previous intended parent, whose family needed the assistance of a surrogate mother like you to make the dream of having a child come true. Robert Nichols, the President of CSED, has had the good fortune of being able to have three children though the kindness and compassion a Surrogate Mother. This experience prompted Robert to start an agency that would always put the interests of the Surrogates and Parents above all else. Our commitment to this ideal is apparent at every step of this process. If you are interested in becoming a Surrogate Mother, please research as much as you can, contact fertility clinics in the area, and ask them to recommend the best agency in New England; we are confident that agency will be us.                 Testimonials                          ""This was such a wonderful experience. I would love to do it again. I wanted to thank             you for everything.""  - Gestational Carrier J.C.   ""They really are the best and I'm soooo glad I did this, it has been a journey that I couldn't and wouldn't take back for anything!"" - Gestational Carrier T.G.                               "
